v,加速度,vsp,北京现代索纳塔,苏州金龙53座,GL8,CO2
0.361111111,0.138888889,0.088547074,0,0,1,1.373
0.083333333,-0.083333333,0.001881912,0,0,1,1.388
0.25,-0.083333333,0.005706765,0,0,1,1.398
0.5,0.222222222,0.164381415,0,0,1,1.402
0.388888889,0.027777778,0.052168754,0,0,1,1.406
0.416666667,-0.333333333,-0.094538922,0,0,1,1.406
0.333333333,0.027777778,0.044686552,0,0,1,1.409
0.166666667,-0.166666667,-0.010104168,0,0,1,1.411
0.638888889,-0.111111111,-0.002751863,0,0,1,1.414
0.055555556,0.194444444,0.016683503,0,0,1,1.417
0.138888889,0.194444444,0.041725174,0,0,1,1.417
0.527777778,-0.361111111,-0.134310973,0,0,1,1.422
0.527777778,-0.388888889,-0.148970475,0,0,1,1.425
0.166666667,-0.166666667,-0.010104168,0,0,1,1.426
0.138888889,0.25,0.049440702,0,0,1,1.454
0.611111111,-0.083333333,0.014311897,0,0,1,1.454
0.305555556,0.333333333,0.134307262,0,0,1,1.456
0.388888889,0.222222222,0.127780925,0,0,1,1.457
0.277777778,-0.277777778,-0.047656042,0,0,1,1.459
0.194444444,-0.194444444,-0.017181105,0,0,1,1.469
0.444444444,0.138888889,0.109041089,0,0,1,1.47
0.583333333,-0.305555556,-0.11598789,0,0,1,1.472
0.166666667,-0.166666667,-0.010104168,0,0,1,1.497
0.055555556,0.388888889,0.027485242,0,0,1,1.502
0.333333333,-0.138888889,-0.010865247,0,0,1,1.505
0.194444444,-0.027777778,0.015224112,0,0,1,1.508
0.027777778,-0.027777778,0.002168263,0,0,1,1.51
0.055555556,0.388888889,0.027485242,0,0,1,1.511
0.083333333,0.25,0.029657811,0,0,1,1.513
0.722222222,0.138888889,0.177541304,0,0,1,1.513
0.333333333,0.194444444,0.100238351,0,0,1,1.514
0.305555556,-0.277777778,-0.052408507,0,0,1,1.516
0.055555556,0.25,0.019769714,0,0,1,1.518
0.305555556,0,0.032462297,0,0,1,1.529
0.027777778,0.305555556,0.011426897,0,0,1,1.534
0.25,0.055555556,0.040426639,0,0,1,1.539
0.305555556,0.305555556,0.125820181,0,0,1,1.541
0.138888889,0.527777778,0.08801834,0,0,1,1.544
0.333333333,-0.333333333,-0.075675679,0,0,1,1.546
0.333333333,0.333333333,0.146531517,0,0,1,1.55
4.527777778,-1.194444444,-4.870122744,0,0,1,1.55
0.027777778,0.388888889,0.013741555,0,0,1,1.551
0.305555556,0.027777778,0.040949377,0,0,1,1.555
3.333333333,-0.944444444,-2.7679052,0,0,1,1.557
0.222222222,-0.222222222,-0.025798757,0,0,1,1.563
0.527777778,0.111111111,0.11490057,0,0,1,1.572
1.388888889,-0.75,-0.891154294,0,0,1,1.575
0.055555556,0.25,0.019769714,0,0,1,1.576
2.666666667,-0.333333333,-0.590764474,0,0,1,1.577
0.138888889,-0.138888889,-0.004567992,0,0,1,1.578
2.333333333,-0.944444444,-1.945096724,0,0,1,1.579
5.555555556,-1.027777778,-5.022839126,0,0,1,1.579
2.388888889,-0.555555556,-1.062070601,0,0,1,1.583
0.611111111,0.222222222,0.201027666,0,0,1,1.586
0.166666667,-0.166666667,-0.010104168,0,0,1,1.587
1.416666667,-0.194444444,-0.121903514,0,0,1,1.588
0.5,-0.5,-0.196705279,0,0,1,1.589
0.638888889,-0.638888889,-0.339920421,0,0,1,1.59
0.527777778,0.194444444,0.158879078,0,0,1,1.591
1.527777778,-0.111111111,-0.003762079,0,0,1,1.591
7.638888889,-1.055555556,-7.027090015,0,0,1,1.591
0.166666667,-0.166666667,-0.010104168,0,0,1,1.593
0.277777778,-0.138888889,-0.009078404,0,0,1,1.593
0.333333333,-0.111111111,-0.001606614,0,0,1,1.593
0.583333333,-0.055555556,0.029835582,0,0,1,1.593
0.861111111,0,0.092318161,0,0,1,1.593
0.694444444,-0.694444444,-0.407986996,0,0,1,1.595
0.083333333,0.444444444,0.04586042,0,0,1,1.599
0.638888889,0.166666667,0.174705273,0,0,1,1.599
0.416666667,-0.138888889,-0.013525881,0,0,1,1.6
0.277777778,0.861111111,0.268680591,0,0,1,1.604
0.138888889,-0.138888889,-0.004567992,0,0,1,1.608
0.055555556,0.555555556,0.036743875,0,0,1,1.611
0.666666667,0.666666667,0.51564507,0,0,1,1.612
0.222222222,-0.222222222,-0.025798757,0,0,1,1.614
0.833333333,-0.083333333,0.019856006,0,0,1,1.615
6.166666667,-0.611111111,-2.986263868,0,0,1,1.615
0.666666667,0.027777778,0.089747944,0,0,1,1.616
0.75,-0.333333333,-0.169734485,0,0,1,1.618
1.222222222,-0.027777778,0.097987655,0,0,1,1.62
1.138888889,0.138888889,0.280905539,0,0,1,1.622
1.055555556,-0.555555556,-0.472807024,0,0,1,1.623
1.833333333,-0.277777778,-0.308663881,0,0,1,1.623
0.527777778,0.527777778,0.334793108,0,0,1,1.624
0.861111111,-0.388888889,-0.242535739,0,0,1,1.625
1.055555556,0.083333333,0.201530092,0,0,1,1.625
6.583333333,-0.416666667,-1.892668847,0,0,1,1.625
0.5,0.083333333,0.094941666,0,0,1,1.629
0.972222222,-0.277777778,-0.165601085,0,0,1,1.63
0.388888889,-0.222222222,-0.045046894,0,0,1,1.631
3.194444444,-0.527777778,-1.323212653,0,0,1,1.631
0.361111111,0.277777778,0.138698004,0,0,1,1.632
0.722222222,0.25,0.257782791,0,0,1,1.632
0.666666667,0.305555556,0.274920607,0,0,1,1.633
0.25,-0.083333333,0.005706765,0,0,1,1.634
0.805555556,0.027777778,0.108651753,0,0,1,1.635
1.388888889,-0.055555556,0.073286661,0,0,1,1.635
1.277777778,-0.25,-0.181334567,0,0,1,1.636
0.444444444,0.555555556,0.294213752,0,0,1,1.637
0.472222222,-0.361111111,-0.120217227,0,0,1,1.637
0.583333333,-0.027777778,0.04603819,0,0,1,1.637
0.472222222,-0.333333333,-0.10710083,0,0,1,1.638
0.777777778,-0.555555556,-0.348808525,0,0,1,1.638
9,-1.361111111,-10.94452345,0,0,1,1.64
0.833333333,0.055555556,0.135588921,0,0,1,1.642
1.138888889,0.027777778,0.154370886,0,0,1,1.642
1.166666667,0.222222222,0.3850413,0,0,1,1.642
1.555555556,-0.305555556,-0.306176291,0,0,1,1.642
0.111111111,-0.111111111,-0.000572617,0,0,1,1.643
0.888888889,0.166666667,0.243482114,0,0,1,1.643
1.333333333,-0.305555556,-0.263123042,0,0,1,1.643
2.861111111,-0.5,-1.108883163,0,0,1,1.644
0.583333333,-0.472222222,-0.213203538,0,0,1,1.645
0.666666667,-0.194444444,-0.058390187,0,0,1,1.645
0.416666667,0.388888889,0.206366656,0,0,1,1.646
0.555555556,-0.555555556,-0.249370899,0,0,1,1.646
0.694444444,-0.694444444,-0.407986996,0,0,1,1.646
0.166666667,0.333333333,0.07322353,0,0,1,1.647
0.666666667,0.111111111,0.145299743,0,0,1,1.647
0.055555556,0.277777778,0.021312819,0,0,1,1.648
0.444444444,0.638888889,0.331248285,0,0,1,1.648
1.333333333,0.388888889,0.662740275,0,0,1,1.648
0.638888889,0.138888889,0.156959559,0,0,1,1.649
1.027777778,-0.388888889,-0.28913848,0,0,1,1.649
0.333333333,-0.333333333,-0.075675679,0,0,1,1.65
3.361111111,-0.916666667,-2.697278604,0,0,1,1.65
0.638888889,-0.277777778,-0.109226144,0,0,1,1.651
0.972222222,-0.083333333,0.023429342,0,0,1,1.651
1.027777778,-0.444444444,-0.346233384,0,0,1,1.651
1.194444444,-0.361111111,-0.302432187,0,0,1,1.651
0.111111111,0.055555556,0.017944649,0,0,1,1.652
0.361111111,-0.361111111,-0.091996273,0,0,1,1.653
5.388888889,-0.083333333,0.212517845,0,0,1,1.654
0.805555556,0.166666667,0.220526904,0,0,1,1.655
0.5,0.166666667,0.136605515,0,0,1,1.656
0.888888889,0.222222222,0.292861491,0,0,1,1.656
1.083333333,0.305555556,0.447620154,0,0,1,1.656
1.111111111,-0.055555556,0.057954498,0,0,1,1.656
1.027777778,0.111111111,0.224715661,0,0,1,1.657
1.361111111,0.166666667,0.374183796,0,0,1,1.658
4.166666667,0.166666667,1.182810207,0,0,1,1.658
0.972222222,0.055555556,0.158451076,0,0,1,1.659
1,0.444444444,0.551896694,0,0,1,1.659
1.444444444,0.166666667,0.397368444,0,0,1,1.659
1.055555556,0.083333333,0.201530092,0,0,1,1.661
1.194444444,-0.638888889,-0.634199875,0,0,1,1.661
1.527777778,-0.25,-0.215939089,0,0,1,1.661
0.027777778,-0.027777778,0.002168263,0,0,1,1.662
1.277777778,-0.638888889,-0.678214547,0,0,1,1.662
1.277777778,0,0.138088278,0,0,1,1.662
5.472222222,-0.083333333,0.21807138,0,0,1,1.663
1.361111111,0.25,0.487602052,0,0,1,1.664
0.472222222,-0.083333333,0.010946743,0,0,1,1.665
0.888888889,-0.305555556,-0.176242589,0,0,1,1.665
1.388888889,-0.111111111,-0.003868615,0,0,1,1.665
5.305555556,-0.111111111,0.059691329,0,0,1,1.665
0.333333333,-0.333333333,-0.075675679,0,0,1,1.666
0.555555556,0,0.059250206,0,0,1,1.666
1.611111111,0.305555556,0.667605747,0,0,1,1.667
1.861111111,-0.277777778,-0.313207003,0,0,1,1.667
2.444444444,-0.833333333,-1.765333869,0,0,1,1.667
0.777777778,-0.027777778,0.061657545,0,0,1,1.668
2.611111111,-0.583333333,-1.231641919,0,0,1,1.668
3.777777778,-0.75,-2.396190888,0,0,1,1.668
1.138888889,-0.111111111,-0.003797431,0,0,1,1.669
1.555555556,0.305555556,0.644376715,0,0,1,1.669
1.722222222,0.111111111,0.379265139,0,0,1,1.669
2.027777778,-0.666666667,-1.128887013,0,0,1,1.671
0.277777778,-0.277777778,-0.047656042,0,0,1,1.672
2.083333333,0.138888889,0.518627016,0,0,1,1.672
2.333333333,-0.388888889,-0.64888808,0,0,1,1.672
2.833333333,-0.5,-1.098373139,0,0,1,1.672
3.666666667,-0.944444444,-3.040191248,0,0,1,1.672
0.833333333,-0.416666667,-0.257902989,0,0,1,1.673
1.111111111,-0.277777778,-0.188942387,0,0,1,1.673
1.555555556,-1.194444444,-1.688798844,0,0,1,1.673
5.527777778,-0.055555556,0.375365307,0,0,1,1.673
0.166666667,0.416666667,0.08711148,0,0,1,1.674
0.361111111,0.138888889,0.088547074,0,0,1,1.674
1.138888889,0.194444444,0.344172866,0,0,1,1.674
1.611111111,-0.416666667,-0.495895821,0,0,1,1.674
1.861111111,0.194444444,0.565591596,0,0,1,1.674
2.222222222,-0.222222222,-0.248352258,0,0,1,1.674
2.416666667,-0.305555556,-0.470096112,0,0,1,1.674
0.416666667,-0.388888889,-0.117685505,0,0,1,1.675
1.333333333,0.027777778,0.18129135,0,0,1,1.675
1.833333333,0.027777778,0.251483426,0,0,1,1.675
3.25,-0.75,-2.067766415,0,0,1,1.675
0.027777778,-0.027777778,0.002168263,0,0,1,1.676
0.666666667,-0.666666667,-0.373183714,0,0,1,1.676
0.638888889,-0.638888889,-0.339920421,0,0,1,1.677
1.333333333,0,0.144256817,0,0,1,1.677
1.611111111,-1.583333333,-2.375398354,0,0,1,1.677
2.722222222,-0.972222222,-2.341675792,0,0,1,1.677
0.583333333,0.972222222,0.62933208,0,0,1,1.679
1.277777778,0.361111111,0.599476831,0,0,1,1.679
1.583333333,-0.555555556,-0.707344769,0,0,1,1.679
2.583333333,-0.222222222,-0.285953361,0,0,1,1.679
0.666666667,-0.361111111,-0.169493785,0,0,1,1.68
2.5,-0.944444444,-2.082797319,0,0,1,1.68
0.305555556,0.361111111,0.142794342,0,0,1,1.681
2.75,-0.666666667,-1.52510683,0,0,1,1.681
4.166666667,-0.805555556,-2.867841804,0,0,1,1.681
4.055555556,0.111111111,0.924130989,0,0,1,1.682
5.611111111,-0.055555556,0.383392067,0,0,1,1.682
2.055555556,-0.444444444,-0.687437023,0,0,1,1.683
2.638888889,-0.027777778,0.221433182,0,0,1,1.683
2.833333333,-0.111111111,0.003404208,0,0,1,1.683
5.555555556,-0.027777778,0.532340775,0,0,1,1.683
1.916666667,-0.388888889,-0.535226888,0,0,1,1.684
0.305555556,-0.305555556,-0.060895588,0,0,1,1.685
2.611111111,-0.805555556,-1.811849598,0,0,1,1.685
0.583333333,0.305555556,0.240469487,0,0,1,1.686
0.833333333,0,0.089295755,0,0,1,1.686
0.861111111,-0.527777778,-0.362126417,0,0,1,1.686
1.5,-0.083333333,0.037871744,0,0,1,1.686
1.638888889,0.444444444,0.906835168,0,0,1,1.686
2.111111111,-0.638888889,-1.116160921,0,0,1,1.686
2.694444444,-0.277777778,-0.447002054,0,0,1,1.686
5.194444444,-0.083333333,0.199921588,0,0,1,1.686
0.027777778,-0.027777778,0.002168263,0,0,1,1.687
0.055555556,0.305555556,0.022855925,0,0,1,1.687
1.75,-1.083333333,-1.70463209,0,0,1,1.687
0.555555556,0.25,0.198129704,0,0,1,1.688
1.027777778,-0.083333333,0.024883495,0,0,1,1.688
2.027777778,-0.083333333,0.053903374,0,0,1,1.688
2.666666667,-0.055555556,0.149926179,0,0,1,1.688
3.083333333,-0.25,-0.421944491,0,0,1,1.688
2.055555556,0,0.22608145,0,0,1,1.689
2.666666667,0,0.29806431,0,0,1,1.689
3.638888889,-0.805555556,-2.512175253,0,0,1,1.689
0.333333333,-0.333333333,-0.075675679,0,0,1,1.69
1.416666667,-0.305555556,-0.279300278,0,0,1,1.69
2.111111111,-0.472222222,-0.764332861,0,0,1,1.69
3.583333333,-0.055555556,0.212748425,0,0,1,1.69
2.666666667,-1.194444444,-2.8869055,0,0,1,1.691
11.69444444,-1.083333333,-10.71301409,0,0,1,1.691
