,v,a,vsp,CO2
0,0.033333333,0.861111111,0.028989447,1.1642
1,0.055555556,0.594444444,0.038904222,0.6492
2,0.066666667,0.211111111,0.020793052,0.218
3,0.083333333,0.488888889,0.049563873,0.2032
4,0.116666667,0.216666667,0.037514567,1.6384
5,0.15,0.277777778,0.054015896,1.3204
6,0.172222222,0.15,0.042180517,0.7846
7,0.194444444,0.627777778,0.142684628,0.214
8,0.2,0.422222222,0.10546967,1.1364
9,0.222222222,0.161111111,0.059380668,0.6026
10,0.244444444,0.683333333,0.198003342,0.5628
11,0.25,0.75,0.214026011,0.707
12,0.277777778,0.233333333,0.094309667,0.4522
13,0.294444444,0.211111111,0.08929784,1.8004
14,0.316666667,0.266666667,0.113581412,2.0672
15,0.338888889,0.044444444,0.04882934,1.8816
16,0.361111111,-0.016666667,0.032378033,0.4922
17,0.383333333,0.033333333,0.049722854,2.5304
18,0.405555556,-0.066666667,0.011208867,1.9346
19,0.416666667,0.2,0.127668274,0.802
20,0.427777778,0.277777778,0.161726939,2.5126
21,0.461111111,0.161111111,0.120704404,2.9268
22,0.472222222,-0.072222222,0.016193301,1.967
23,0.472222222,-0.083333333,0.010946743,0.8118
24,0.494444444,0.255555556,0.178598851,0.503
25,0.505555556,0.205555556,0.155256799,1.0052
26,0.527777778,-0.066666667,0.021079754,0.539
27,0.555555556,0.972222222,0.599337141,0.5562
28,0.6,-0.044444444,0.043359333,0.5492
29,0.616666667,0.188888889,0.186658864,0.3786
30,0.638888889,-0.188888889,-0.052439861,1.0184
31,0.661111111,0.144444444,0.169235184,2.5732
32,0.677777778,-0.105555556,-0.000711403,3.5352
33,0.711111111,0.527777778,0.457801367,2.8678
34,0.733333333,0.188888889,0.216396745,0.8676
35,0.755555556,-0.316666667,-0.160953543,0.3376
36,0.783333333,0.116666667,0.177530668,0.486
37,0.805555556,0.011111111,0.095226735,1.7048
38,0.811111111,0.688888889,0.64533042,0.7374
39,0.833333333,0.283333333,0.325390901,1.0908
40,0.877777778,0.05,0.136414746,1.806
41,0.888888889,-0.311111111,-0.181180527,1.2912
42,0.927777778,0.161111111,0.260223666,3.0854
43,0.955555556,-0.194444444,-0.082243458,2.706
44,0.972222222,0.283333333,0.379886719,2.3706
45,1,0.344444444,0.451903456,1.3018
46,1.016666667,0.338888889,0.457124418,0.6668
47,1.027777778,0.094444444,0.20758719,3.0192
48,1.055555556,0.055555556,0.172211087,3.0892
49,1.066666667,-0.061111111,0.044582152,0.7272
50,1.105555556,0.05,0.171687677,2.5256
51,1.133333333,0.077777778,0.209156673,2.0962
52,1.138888889,0.172222222,0.318865935,1.3726
53,1.144444444,0.077777778,0.209917912,0.947
54,1.166666667,-0.15,-0.049188596,0.493
55,1.177777778,-0.405555556,-0.34655302,0.3666
56,1.194444444,0.394444444,0.599975926,0.7512
57,1.211111111,0.35,0.559845557,1.8868
58,1.222222222,-0.2,-0.112491939,2.4826
59,1.25,-0.35,-0.302460298,3.678
60,1.277777778,0.072222222,0.230365988,3.7952
61,1.277777778,0.094444444,0.25875913,1.5354
62,1.3,-0.172222222,-0.08628246,0.3918
63,1.305555556,-0.094444444,0.017876365,0.3316
64,1.327777778,0.166666667,0.366463991,1.9636
65,1.333333333,0.011111111,0.15907063,1.6874
66,1.338888889,-0.472222222,-0.48316904,0.365
67,1.361111111,0.244444444,0.480040835,1.37
68,1.383333333,-0.011111111,0.135317815,1.4378
69,1.388888889,-0.233333333,-0.173610223,0.8096
70,1.388888889,0.066666667,0.243028269,1.468
71,1.411111111,4.44089E-17,0.14566845,1.048
72,1.416666667,0.022222222,0.185020175,1.5462
73,1.444444444,0.011111111,0.172692279,1.1524
74,1.45,0.322222222,0.621740241,0.7358
75,1.472222222,-0.266666667,-0.232814589,0.5748
76,1.488888889,-0.666666667,-0.833375886,0.9768
77,1.5,-0.222222222,-0.170447502,0.4078
78,1.5,-0.233333333,-0.187113042,1.6118
79,1.511111111,0.022222222,0.196052071,3.0622
80,1.527777778,-0.061111111,0.072621645,0.3698
81,1.527777778,0.811111111,1.405093268,0.3902
82,1.555555556,-0.022222222,0.134534648,2.4584
83,1.572222222,-0.161111111,-0.082865545,1.6964
84,1.583333333,-0.233333333,-0.197194081,1.1154
85,1.594444444,-0.572222222,-0.734948962,1.3978
86,1.611111111,0.75,1.383606712,0.2888
87,1.638888889,-0.144444444,-0.05822303,0.3846
88,1.638888889,-0.344444444,-0.385978644,0.3946
89,1.644444444,0.05,0.260593109,0.3818
90,1.677777778,0.288888889,0.66310011,0.3536
91,1.694444444,0.038888889,0.250662406,0.3498
92,1.716666667,-0.011111111,0.170007621,0.398
93,1.727777778,-0.155555556,-0.079795399,0.3806
94,1.75,0.061111111,0.298010264,0.349
95,1.772222222,0.183333333,0.514410919,0.3484
96,1.788888889,0.011111111,0.212778665,0.369
97,1.827777778,-0.588888889,-0.872376586,0.3618
98,1.833333333,-0.05,0.108900475,0.3558
99,1.85,-0.15,-0.08424462,0.3198
100,1.861111111,0.177777778,0.534575175,0.333
101,1.861111111,0.027777778,0.255427385,0.362
102,1.905555556,-0.138888889,-0.049187109,1.564
103,1.927777778,-0.727777778,-1.191777809,2.2032
104,1.95,0.177777778,0.562197912,3.3798
105,1.983333333,0.605555556,1.418133837,3.0556
106,2.011111111,-0.055555556,0.10444728,2.2176
107,2.027777778,-0.516666667,-0.824740913,0.6296
108,2.044444444,0.577777778,1.410366219,0.2414
